fullname,count
Kwok-Yung Yuen,106
Wei Wang,82
Christian Drosten,78
Benjamin Cowling,76
Yan Li,71
George Gao,69
Ziad Memish,68
Lin-Fa Wang,67
Wei Zhang,65
Wei Li,62
Janet Englund,58
Ralph Baric,57
Y Li,55
Shibo Jiang,53
Y Wang,51
Patrick Woo,51
Jing Wang,51
Wei Liu,50
Zisis Kozlakidis,50
Susanna Lau,50
Yang Liu,50
Li Wang,49
Jane Kuypers,48
Ying Wang,47
Lin Wang,46
Jing Li,46
Nicola Decaro,45
Yang Li,45
Kwok-Hung Chan,45
Lei Liu,45
Paul Chan,45
Gerardo Chowell,45
Jun Liu,45
Hui Li,44
Lei Zhang,44
Hong Kong,44
Y Zhang,43
Jing Liu,43
Michael Boeckh,43
Jan Balzarini,43
Yan Wang,42
Yu Chen,42
Malik Peiris,42
Yan Zhang,42
Marion Koopmans,41
Graciela Andrei,41
Hongjie Yu,41
Edward Holmes,41
Yan Zhao,41
Yi Zhang,40
Jun Wang,40
Jing Zhang,39
Keith Jerome,39
Linda Saif,39
Jian Wang,39
Shengwang Liu,38
Eric Snijder,38
Hiroshi Nishiura,37
Vito Martella,37
Canio Buonavoglia,37
Lia Van Der Hoek,37
Li Li,37
Rui Wang,36
Yu Zhang,35
Stanley Perlman,35
Peter Daszak,35
Li Zhang,35
Luis Enjuanes,35
Robert Snoeck,34
Dean Erdman,34
Didier Raoult,34
David Hui,34
James Gern,34
Victor Corman,33
Leo Poon,33
Astrid Vabret,33
Philippe Gautret,33
Yu Wang,33
Helen Chu,33
Neil Ferguson,32
Jianwei Wang,32
Lanying Du,32
J Peiris,32
Wenjie Tan,32
Peter Sly,32
Li Feng,32
Lin Yang,32
Jing Chen,32
X Wang,32
Albert Osterhaus,32
Chen Wang,31
Abdullah Assiri,31
Thibaut Jombart,31
Heinz Feldmann,31
Adam Kucharski,31
Chuan Qin,31
Marcel Müller,31
Zheng Zhang,31
Ying Liu,30
Gabriella Elia,30
